SCOTLAND INTERNATIONAL FOOTBALLERS (1+ CAPS) WITH FIRST CAP AFTER NOVEMBER 5, 1995
Total: 232 players
================================================================================

153. Kenny McLean              |  53 caps |  2 goals | First: March 24, 2016  vs Czech Republic  | Last: October 12, 2025 vs Belarus
154. Paul Caddis               |   1 caps |  0 goals | First: March 24, 2016  vs Czech Republic  | Last: March 24, 2016  vs Czech Republic
155. Tony Watt                 |   1 caps |  0 goals | First: March 24, 2016  vs Czech Republic  | Last: March 24, 2016  vs Czech Republic
156. Oliver Burke              |  13 caps |  1 goals | First: March 29, 2016  vs Denmark         | Last: November 18, 2020 vs Israel
157. John McGinn               |  81 caps | 20 goals | First: March 29, 2016  vs Denmark         | Last: October 12, 2025 vs Belarus
158. Kieran Tierney            |  52 caps |  1 goals | First: March 29, 2016  vs Denmark         | Last: October 12, 2025 vs Belarus
159. Callum Paterson           |  17 caps |  0 goals | First: May 29, 2016    vs Italy           | Last: November 12, 2020 vs Serbia
160. Stephen Kingsley          |   2 caps |  0 goals | First: June 04, 2016   vs France          | Last: September 27, 2022 vs Ukraine
161. Barrie McKay              |   1 caps |  0 goals | First: June 04, 2016   vs France          | Last: June 04, 2016   vs France
162. Tom Cairney               |   2 caps |  0 goals | First: March 22, 2017  vs Canada          | Last: March 23, 2018  vs Costa Rica
163. Stuart Armstrong          |  53 caps |  5 goals | First: March 26, 2017  vs Slovenia        | Last: November 18, 2024 vs Poland
164. Ryan Fraser               |  26 caps |  4 goals | First: June 10, 2017   vs England         | Last: November 16, 2022 vs Turkey
165. Ryan Christie             |  62 caps |  8 goals | First: November 09, 2017 vs Netherlands     | Last: October 09, 2025 vs Greece
166. Ryan Jack                 |  20 caps |  0 goals | First: November 09, 2017 vs Netherlands     | Last: June 07, 2024   vs Finland
167. Callum McGregor           |  63 caps |  3 goals | First: November 09, 2017 vs Netherlands     | Last: June 23, 2024   vs Hungary
168. Jason Cummings            |   2 caps |  0 goals | First: November 09, 2017 vs Netherlands     | Last: March 27, 2018  vs Hungary
169. Oli McBurnie              |  16 caps |  0 goals | First: March 23, 2018  vs Costa Rica      | Last: March 31, 2021  vs Faroe Islands
170. Scott McKenna             |  44 caps |  1 goals | First: March 23, 2018  vs Costa Rica      | Last: October 12, 2025 vs Belarus
171. Scott McTominay           |  65 caps | 13 goals | First: March 23, 2018  vs Costa Rica      | Last: October 12, 2025 vs Belarus
172. Kevin McDonald            |   5 caps |  0 goals | First: March 23, 2018  vs Costa Rica      | Last: October 14, 2018 vs Portugal
173. Jamie Murphy              |   2 caps |  0 goals | First: March 23, 2018  vs Costa Rica      | Last: May 30, 2018    vs Peru
174. Jack Hendry               |  36 caps |  3 goals | First: March 27, 2018  vs Hungary         | Last: October 12, 2025 vs Belarus
175. Barry Douglas             |   1 caps |  0 goals | First: March 27, 2018  vs Hungary         | Last: March 27, 2018  vs Hungary
176. Stephen O'Donnell         |  26 caps |  0 goals | First: May 30, 2018    vs Peru            | Last: March 29, 2022  vs Austria
177. Lewis Morgan              |   7 caps |  0 goals | First: May 30, 2018    vs Peru            | Last: October 15, 2024 vs Portugal
178. Graeme Shinnie            |   6 caps |  0 goals | First: May 30, 2018    vs Peru            | Last: March 21, 2019  vs Kazakhstan
179. Chris Cadden              |   2 caps |  0 goals | First: May 30, 2018    vs Peru            | Last: June 03, 2018   vs Mexico
180. Dylan McGeouch            |   2 caps |  0 goals | First: May 30, 2018    vs Peru            | Last: June 03, 2018   vs Mexico
181. Jordan Archer             |   1 caps |  0 goals | First: May 30, 2018    vs Peru            | Last: May 30, 2018    vs Peru
182. Lewis Stevenson           |   1 caps |  0 goals | First: May 30, 2018    vs Peru            | Last: May 30, 2018    vs Peru
183. Scott Bain                |   3 caps |  0 goals | First: June 03, 2018   vs Mexico          | Last: March 24, 2019  vs San Marino
184. Jon McLaughlin            |   2 caps |  0 goals | First: June 03, 2018   vs Mexico          | Last: October 13, 2019 vs San Marino
185. John Souttar*[note 4]     |  20 caps |  2 goals | First: September 07, 2018 vs Belgium         | Last: October 12, 2025 vs Belarus
186. David Bates               |   4 caps |  0 goals | First: November 17, 2018 vs Albania         | Last: March 24, 2019  vs San Marino
187. Liam Palmer               |   8 caps |  0 goals | First: March 21, 2019  vs Kazakhstan      | Last: March 31, 2021  vs Faroe Islands
188. Marc McNulty              |   2 caps |  0 goals | First: March 21, 2019  vs Kazakhstan      | Last: March 24, 2019  vs San Marino
189. Eamonn Brophy             |   1 caps |  0 goals | First: June 08, 2019   vs Cyprus          | Last: June 08, 2019   vs Cyprus
190. Greg Taylor               |  14 caps |  0 goals | First: June 11, 2019   vs Belgium         | Last: June 07, 2024   vs Finland
191. Liam Cooper               |  19 caps |  0 goals | First: September 06, 2019 vs Russia          | Last: June 03, 2024   vs Gibraltar
192. Lawrence Shankland        |  16 caps |  3 goals | First: October 10, 2019 vs Russia          | Last: November 18, 2024 vs Poland
193. John Fleck                |   5 caps |  0 goals | First: October 10, 2019 vs Russia          | Last: March 31, 2021  vs Faroe Islands
194. Mikey Devlin              |   3 caps |  0 goals | First: October 10, 2019 vs Russia          | Last: November 16, 2019 vs Cyprus
195. Stuart Findlay            |   1 caps |  1 goals | First: October 13, 2019 vs San Marino      | Last: October 13, 2019 vs San Marino
196. Declan Gallagher          |   9 caps |  0 goals | First: November 16, 2019 vs Cyprus          | Last: June 06, 2021   vs Luxembourg
197. Lyndon Dykes              |  46 caps | 10 goals | First: September 04, 2020 vs Israel          | Last: October 12, 2025 vs Belarus
198. Andrew Considine          |   3 caps |  0 goals | First: October 11, 2020 vs Slovakia        | Last: November 15, 2020 vs Slovakia
199. Paul Hanlon               |   1 caps |  0 goals | First: October 14, 2020 vs Czech Republic  | Last: October 14, 2020 vs Czech Republic
200. Ché Adams                 |  43 caps | 11 goals | First: March 25, 2021  vs Austria         | Last: October 12, 2025 vs Belarus
201. Kevin Nisbet              |  11 caps |  1 goals | First: March 31, 2021  vs Faroe Islands   | Last: June 20, 2023   vs Georgia
202. Billy Gilmour             |  43 caps |  2 goals | First: June 02, 2021   vs Netherlands     | Last: October 12, 2025 vs Belarus
203. David Turnbull            |   5 caps |  0 goals | First: June 02, 2021   vs Netherlands     | Last: June 14, 2022   vs Armenia
204. Nathan Patterson          |  23 caps |  1 goals | First: June 06, 2021   vs Luxembourg      | Last: June 09, 2025   vs Liechtenstein
205. Lewis Ferguson            |  19 caps |  1 goals | First: September 01, 2021 vs Denmark         | Last: October 09, 2025 vs Greece
206. Paul McGinn               |   1 caps |  0 goals | First: September 07, 2021 vs Austria         | Last: September 07, 2021 vs Austria
207. Jacob Brown               |   8 caps |  0 goals | First: November 12, 2021 vs Moldova         | Last: November 19, 2023 vs Norway
208. Anthony Ralston           |  23 caps |  1 goals | First: November 15, 2021 vs Denmark         | Last: October 12, 2025 vs Belarus
209. Aaron Hickey              |  17 caps |  0 goals | First: March 24, 2022  vs Poland          | Last: October 09, 2025 vs Greece
210. Ross Stewart              |   2 caps |  0 goals | First: June 08, 2022   vs Armenia         | Last: June 11, 2022   vs Republic of Ireland
211. Allan Campbell            |   1 caps |  0 goals | First: June 14, 2022   vs Armenia         | Last: June 14, 2022   vs Armenia
212. Ryan Porteous             |  13 caps |  1 goals | First: September 27, 2022 vs Ukraine         | Last: March 20, 2025  vs Greece
213. Calvin Ramsay             |   1 caps |  0 goals | First: November 16, 2022 vs Turkey          | Last: November 16, 2022 vs Turkey
214. Angus Gunn                |  20 caps |  0 goals | First: March 25, 2023  vs Cyprus          | Last: October 12, 2025 vs Belarus
215. Dominic Hyam              |   1 caps |  0 goals | First: June 17, 2023   vs Norway          | Last: June 17, 2023   vs Norway
216. Zander Clark              |   4 caps |  0 goals | First: October 17, 2023 vs France          | Last: June 03, 2024   vs Gibraltar
217. Liam Kelly                |   1 caps |  0 goals | First: October 17, 2023 vs France          | Last: October 17, 2023 vs France
218. Ross McCrorie             |   1 caps |  0 goals | First: June 03, 2024   vs Gibraltar       | Last: June 03, 2024   vs Gibraltar
219. Tommy Conway              |   6 caps |  0 goals | First: June 07, 2024   vs Finland         | Last: June 09, 2025   vs Liechtenstein
220. Ben Gannon-Doak           |  10 caps |  0 goals | First: September 05, 2024 vs Poland          | Last: October 12, 2025 vs Belarus
221. Ryan Gauld                |   6 caps |  0 goals | First: September 05, 2024 vs Poland          | Last: November 18, 2024 vs Poland
222. Nicky Devlin              |   2 caps |  0 goals | First: October 15, 2024 vs Portugal        | Last: November 18, 2024 vs Poland
223. George Hirst              |   5 caps |  1 goals | First: March 20, 2025  vs Greece          | Last: September 05, 2025 vs Denmark
224. Max Johnston              |   4 caps |  0 goals | First: March 20, 2025  vs Greece          | Last: September 08, 2025 vs Belarus
225. James Wilson              |   1 caps |  0 goals | First: March 23, 2025  vs Greece          | Last: March 23, 2025  vs Greece
